Question Number,Memory Type,Question,Ground Truth,AI Response,Response Length,Contains Error,Timestamp
319,Manual Entry,What creature did Ryan joke would become the band mascot?,Rex.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:49:33.189199
320,Manual Entry,Whose laptop turned off because a cat pressed the keyboard?,Chloe’s; Whiskers typed on it.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:49:46.629414
321,Manual Entry,What vegetable leaf did Rex steal from the kitchen?,Spinach.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:50:00.335274
322,Manual Entry,Who compared himself to a marshmallow after group meditation?,Sarah.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:50:13.744288
323,Manual Entry,What did Emma’s coworker Mia help her with during a storm?,Jump‑starting her car.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:50:27.455418
324,Manual Entry,Which friend confessed to reading ‘Project Hail Mary’?,Emma.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:50:41.390839
325,Manual Entry,What did the group call the salsa that Ryan found at the farmer’s market?,Habanero salsa.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:50:54.858304
326,Manual Entry,What did Sarah bring to the potluck from her Polish heritage?,Pierogi.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:51:08.247459
327,Manual Entry,Who discovered a community garden can be meditative while planting lettuce?,Ryan.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:51:21.501113
328,Manual Entry,Which friend always ends up with animal paw prints on their pottery?,Sarah.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:51:35.713412
329,Manual Entry,Who was given gold star stickers in pottery class?,Sarah.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:51:49.317464
330,Manual Entry,Which pet loves jazz and hates vacuum cleaners?,Rex loves jazz and hates vacuum cleaners.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:52:02.750548
331,Manual Entry,What did Emma do at her friend’s wedding?,She danced but dodged the bouquet.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:52:16.391723
332,Manual Entry,Who used watercolor paints recommended by Sarah?,Emma.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:52:29.602594
333,Manual Entry,Which friend read a memoir about climbing Mount Everest?,Chloe.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:52:42.806228
334,Manual Entry,Who introduced the group to the CalmCove meditation app?,"Sarah’s coworker recommended it, and Ryan told his friends.",I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:52:56.252707
335,Manual Entry,What creative field did Chloe’s cousin Liam belong to?,Music; he plays guitar.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:53:09.802314
336,Manual Entry,Which friend attends therapy regularly?,Sarah.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:53:23.088453
337,Manual Entry,Who practiced their award ceremony speech while doing lunges?,Chloe.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:53:36.166652
338,Manual Entry,Which friend spilled their cappuccino on the first day of their barista job?,Jake.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:53:49.617795
339,Manual Entry,Who played rhythm guitar at a local bar?,Jake.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:54:02.720966
340,Manual Entry,What did Ryan say he uses to practice his presentation besides Rex?,His microwave.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:54:16.609361
341,Manual Entry,What prize did Chloe’s hackathon team win for building an artist‑matching app?,Third place.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:54:30.211202
342,Manual Entry,What guilty pleasure snack does Emma enjoy from a food truck?,Poke bowls with fresh ahi tuna.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:54:44.406317
343,Manual Entry,Which pet attempted to climb curtains and shred them?,"Luna, Chloe’s foster kitten.",I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:54:57.629251
344,Manual Entry,"Who cut their finger slicing herbs, rendering them unable to play guitar for a few days?",Jake.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:55:11.837200
345,Manual Entry,What did Emma ask Sarah to bring to the sushi night?,"A veggie roll with cucumber, avocado, and pickled carrots.",I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:55:25.339643
346,Manual Entry,Who told Emma that Pachelbel’s Canon could be played at a wedding?,Jake.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:55:38.699760
347,Manual Entry,Which friend uses bullet journaling as a time‑management tool?,Sarah.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:55:52.385586
348,Manual Entry,Who found mismatched shoes to be an acceptable Monday chaos?,Sarah.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:56:05.764653
349,Manual Entry,Which friend discovered calm breathing through yoga retreat silent breakfasts?,Emma.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:56:19.566686
350,Manual Entry,Who posted a video of a meditation app sending them to sleep?,Ryan.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:56:33.374803
351,Manual Entry,Who offered to host a board game night with Settlers of Catan?,"Sarah wanted to, and Ryan promised to teach.",I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:56:47.295731
352,Manual Entry,What dish did Ryan bring to the heritage potluck that contained spinach and feta?,Spanakopita.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:57:00.976140
353,Manual Entry,Which friend frequently reads self‑help books like ‘Atomic Habits’?,Ryan.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:57:14.463892
354,Manual Entry,What song did the musician dedicate at the midnight jazz concert?,A song dedicated to ‘friends who show up.’,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:57:28.259054
355,Manual Entry,What sign language word did Sarah find most empowering?,Friend.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:57:41.527352
356,Manual Entry,Who discovered that Rex responds to jazz more than country?,Ryan.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:57:54.843467
357,Manual Entry,Which friend’s neighbor gave them banana bread and stories?,Mrs. Thompson gave Chloe banana bread and gardening stories.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:58:08.039693
358,Manual Entry,Who used to store puzzles on the dining table?,"Emma, with her Yosemite puzzle.",I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:58:21.471207
359,Manual Entry,What job did Jake take after Bean There Done That closed?,A part‑time barista job at the new café near Riverside Park.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:58:35.059399
360,Manual Entry,Who is known for writing a blog series called ‘Scones and Thoughts’?,Chloe.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:58:48.607888
361,Manual Entry,Which friend forgot to add baking soda to banana bread?,Ryan.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:59:01.780004
362,Manual Entry,"What did Sarah accidentally call her boss during a video call, causing embarrassment?",She called her boss ‘Mom.’,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:59:15.088615
363,Manual Entry,Who gave Chloe a gold star sticker in pottery class?,The pottery teacher.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:59:28.725633
364,Manual Entry,What did Jake name his guitar and why?,He named it Rosie because he thought the name fit.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:59:42.285163
365,Manual Entry,Who is always burning their focaccia?,Jake.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:59:55.744777
366,Manual Entry,Which city’s deep‑dish pizza did Ryan claim to like in Chicago?,Lou Malnati’s deep‑dish pizza.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T03:00:09.152505
367,Manual Entry,Which friend plans to adopt another dog in the future?,Ryan.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T03:00:22.501170
368,Manual Entry,Who told a monk story after getting lost in Chinatown?,Chloe.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T03:00:36.181534
369,Manual Entry,Which friend has the most pets at home?,"Chloe, with Whiskers and Luna.",I'm having trouble responding right now. Please try again.,58,False,2025-08-13T03:00:59.262327
370,Manual Entry,Who suffers from social anxiety but is working through it via therapy?,Sarah.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T03:01:13.171283
371,Manual Entry,What item did Chloe’s laptop key get stuck on due to cat interference?,The letter ‘s.’,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T03:01:26.668495
372,Manual Entry,Which friend tries to cut sugar but often fails?,Ryan.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T03:01:39.836648
373,Manual Entry,Who is obsessed with smelling coffee and learning about its aroma compounds?,Jake.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T03:01:54.456164
374,Manual Entry,Who told a joke about their guitar’s showerhead giving standing ovations?,Jake.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T03:02:07.939295
375,Manual Entry,Which friend uses VR to virtually visit the Louvre?,Emma.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T03:02:21.044218
376,Manual Entry,Which friend’s neighbor moved away and often baked banana bread?,"Mrs. Thompson, Chloe’s neighbor.",I'm having trouble responding right now. Please try again.,58,False,2025-08-13T03:02:34.796860
377,Manual Entry,Who read ‘The Power of Habit’ to improve flossing?,Ryan.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T03:02:47.942493
378,Manual Entry,Who was proud of finishing a puzzle that pictured Yosemite?,Emma.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T03:03:01.357668
379,Manual Entry,What did Jake use to name his cat planter?,He didn’t; Sarah made the cat planter for Whiskers.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T03:03:14.534190
380,Manual Entry,Which friend uses watercolor painting as therapy?,Emma (and Sarah).,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T03:03:28.142932
381,Manual Entry,Who overcooked tiramisu due to impatience?,Jake.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T03:03:41.781177
382,Manual Entry,Which pet had to take antibiotics for a urinary infection?,Mittens.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T03:03:55.093731
383,Manual Entry,Who proposed to host a Spanish tapas dinner as a surprise?,Emma organized Ryan’s surprise tapas dinner.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T03:04:09.081817
384,Manual Entry,Who said they’ll document the Acadia camping trip on their blog?,Chloe.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T03:04:23.069389
385,Manual Entry,What item did Emma drop during her VR workout?,She knocked over a lamp.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T03:04:37.180608
386,Manual Entry,Who carried a giant hat for desert camping?,Jake.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T03:04:50.558553
387,Manual Entry,What name did Sarah give to the puppy she fostered?,Mocha.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T03:05:04.004001
388,Manual Entry,Whose new laptop features a backlit keyboard?,Chloe’s.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T03:05:17.716945
389,Manual Entry,Which friend tries latte art but creates ghost shapes?,Jake.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T03:05:31.751577
390,Manual Entry,Who discovered a new book club reading a mystery novel?,Sarah.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T03:05:45.958518
391,Manual Entry,Who discovered that meditation helps them sleep like a log?,Ryan.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T03:05:59.588586
392,Manual Entry,What songs did the group jam to at karaoke?,They belted out 1990s pop songs like ‘Africa’ by Toto and other 90s hits.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T03:06:12.982986
393,Manual Entry,Which activity did the group decide to do at Riverside Park?,A picnic and gentle hiking.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T03:06:26.488931
394,Manual Entry,Who recommended that Emma surf in Maui?,Jake.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T03:06:39.893637
395,Manual Entry,What craft did Chloe pick up after reading ‘Braiding Sweetgrass’?,She sewed curtains.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T03:06:53.746010
396,Manual Entry,Who was accidentally called ‘Mom’ by Sarah?,Her boss.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T03:07:06.854341
397,Manual Entry,Which book did Jake spend time reading about bread history?,‘Sourdough Culture.’,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T03:07:21.003364
398,Manual Entry,Which city was Emma stuck in when she met Mia?,Near her home in Philadelphia during a storm.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T03:07:34.733800
399,Manual Entry,Who signed up for a charity 5K for the community garden?,Chloe.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T03:07:48.459310
400,Manual Entry,What special item did Chloe include in her blog milestone giveaway?,A handwritten note.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T03:08:02.905036
401,Manual Entry,Which friend burned cookies but still tried again later?,Sarah.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T03:08:16.504111
402,Manual Entry,Who recognized the theme of a song dedicated to ‘friends who show up’?,Jake.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T03:08:29.969878
403,Manual Entry,Who confessed to being unable to paint anything but blobs with watercolors?,Emma.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T03:08:43.385549
404,Manual Entry,Which friend looked forward to goat cuddling at a farm?,Sarah.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T03:08:57.051646
405,Manual Entry,Who discovered a scorpion near their campsite?,Jake.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T03:09:10.441002
406,Manual Entry,Which friend’s cat is named Mittens?,Emma’s.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T03:09:24.089573
407,Manual Entry,What treat did Chloe share with her neighbor’s cat?,She fed Marmalade/Whiskers and let him sunbathe on her porch.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T03:09:37.571417
408,Manual Entry,"Who built a pillow fort with her nephew, reminding her of camping?",Sarah.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T03:09:51.658502
409,Manual Entry,What benefit did Emma find in puzzles?,They’re relaxing and keep her away from VR‑induced lamp collisions.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T03:10:04.925494
410,Manual Entry,Which friend recommended bringing bug spray to the Pocono yoga retreat?,Ryan.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T03:10:18.465847
411,Manual Entry,Who spilled their coffee on the keyboard and lost the ‘E’ key?,Ryan.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T03:10:31.997101
412,Manual Entry,Who learned that vacuum cleaners scare Rex?,Ryan.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T03:10:45.459707
413,Manual Entry,Which friend considered going electric for their next car?,Chloe.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T03:10:59.099930
414,Manual Entry,Who always threatens to overstuff pierogi?,Sarah.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T03:11:12.174295
415,Manual Entry,What is the official name of Chloe’s ‘Scones and Thoughts’ series?,‘Scones and Thoughts.’,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T03:11:25.459506
416,Manual Entry,What instrument did Polly mimic to say ‘Bless you’?,She mimicked human speech.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T03:11:39.449235
417,Manual Entry,Who wrote a blog post called ‘Finding Beauty in Getting Lost’?,Chloe.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T03:11:53.568665
418,Manual Entry,Which friend wrote about black holes before the trivia night?,Chloe.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T03:12:07.077789
419,Manual Entry,Who tasted Chicago deep‑dish pizza for the first time during a business trip?,Ryan.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T03:12:20.923365
420,Manual Entry,Which friend recommended a meditation workshop?,Chloe.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T03:12:35.057281
421,Manual Entry,Who lost power and turned melted ice cream into a milkshake?,Chloe.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T03:12:48.601157
422,Manual Entry,Which friend said their internal compass always finds coffee shops?,Ryan.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T03:13:02.728841
423,Manual Entry,Who lost their favorite coffee shop called Bean There Done That?,Jake.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T03:13:16.396281
424,Manual Entry,Which friend wrote a blog series about London that included scones?,Chloe.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T03:13:29.814114
425,Manual Entry,What type of soup did Chloe promise to bring for sushi night?,Miso soup.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T03:13:43.130548
426,Manual Entry,Which friend describes themselves as accident‑prone with knives?,Jake.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T03:13:56.895544
427,Manual Entry,Who went on a weekend road trip to the Mojave Desert?,Jake.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T03:14:10.286300
428,Manual Entry,Which friend loves to knit or sew curtains?,Chloe sewed curtains.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T03:14:23.529786
429,Manual Entry,What drink does Rex believe is always the right choice?,None; Rex doesn’t have a preferred drink.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T03:14:47.280801
430,Manual Entry,Who wrote a travel piece on Maui?,Chloe.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T03:15:00.630705
431,Manual Entry,Which friend used an app called CalmCove to fall asleep to ocean sounds?,Ryan.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T03:15:14.592864
432,Manual Entry,What is the title of Chloe’s post on giving presentations with humor?,No specific title was given; she wrote about using humor in presentations.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T03:15:28.304423
433,Manual Entry,Which friend will bring pierogi to Acadia National Park?,Sarah.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T03:15:41.705256
434,Manual Entry,Who offered to bring guitar music to their friend’s wedding?,Jake.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T03:15:55.432829
435,Manual Entry,Which friend is studying sign language?,Sarah.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T03:16:08.418058
436,Manual Entry,Who has an internal joke about donut cravings?,Ryan and Sarah.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T03:16:22.542933
437,Manual Entry,Which friend started a series about cross‑cultural differences?,Chloe.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T03:16:36.313617
438,Manual Entry,Who used a paint roller as their primary tool?,"Skyline, the street artist.",I'm having trouble responding right now. Please try again.,58,False,2025-08-13T03:16:49.664509
439,Manual Entry,What dessert did the friend group decide was mandatory for camping in Acadia?,S’mores.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T03:17:03.655169
440,Manual Entry,Which friend feared heights but climbed an indoor wall?,Sarah.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T03:17:16.712314
441,Manual Entry,Who got stuck in a rainstorm during a therapy session?,Sarah.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T03:17:30.265453
442,Manual Entry,Which friend organizes jam sessions at closing coffee shops?,Chloe.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T03:17:44.607113
443,Manual Entry,Who attended an award ceremony wearing an emerald green dress?,Chloe.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T03:17:58.039431
444,Manual Entry,Which friend uses jazz to put their dog to sleep?,Ryan.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T03:18:11.298876
445,Manual Entry,Who attempted croissants from scratch and failed?,Jake.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T03:18:24.386291
446,Manual Entry,What item did Sarah keep as a therapy assignment to work on her anxiety?,Speaking in front of a mirror for five minutes daily.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T03:18:37.836417
447,Manual Entry,Which friend took pictures of a bee on a sunflower?,Ryan.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T03:18:51.241068
448,Manual Entry,Which friend said they had a literal hula bobblehead on their desk?,Chloe.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T03:19:04.545517
449,Manual Entry,Who frequently says variety is the spice of life?,Sarah.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T03:19:17.771991
450,Manual Entry,Who will bring coffee beans to Acadia?,Jake.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T03:19:31.345905
451,Manual Entry,Who is always reading self‑help books?,Ryan.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T03:19:44.499084
452,Manual Entry,What special event did the group plan to celebrate their friendship after all of their adventures?,They planned a camping trip to Acadia National Park.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T03:19:58.355590
453,Manual Entry,Which friend repeatedly burns banana bread?,Ryan.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T03:20:11.701979
454,Manual Entry,Who decided to dye their hair purple and embraced it?,Emma.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T03:20:25.295563
455,Manual Entry,Which friend decided to invest in a new camera lens?,Ryan.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T03:20:38.598424
456,Manual Entry,Who hosted a small dinner featuring risotto milanese?,Jake.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T03:20:52.164269
457,Manual Entry,What genre was the book club’s first selection?,A murder mystery set on a train.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T03:21:05.742757
458,Manual Entry,Which friend visited their grandparents and baked apple pies?,Jake.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T03:21:19.472663
459,Manual Entry,Who always jokes about rocket science when referencing ‘Project Hail Mary’?,Emma.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T03:21:33.189717
460,Manual Entry,Who suggested using bug spray at the yoga retreat?,Ryan.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T03:21:46.454322
461,Manual Entry,Which friend moved their neighbor to tears by giving them a cat planter?,No one; that didn’t happen.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T03:21:59.747265
462,Manual Entry,Who played an upright bass at the jazz concert?,"The musician at the Blue Note Lounge, not any of the friends.",I'm having trouble responding right now. Please try again.,58,False,2025-08-13T03:22:13.276271
463,Manual Entry,Which friend said the Milky Way looked like spilled glitter?,Jake.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T03:22:26.802621
464,Manual Entry,Who documented the midnight jazz concert for a vlog?,Chloe.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T03:22:40.208866
465,Manual Entry,Which friend discovered that mismatched shoes are okay when you’re busy?,Sarah.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T03:22:53.397996
466,Manual Entry,Who offered to teach Emma guitar chords?,Jake.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T03:23:06.778261
467,Manual Entry,Which friend noted that their puzzle looked so real they could hear the waterfall?,Emma.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T03:23:20.159966
468,Manual Entry,Who wants to adopt another dog someday?,Ryan.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T03:23:33.422220
469,Manual Entry,Who said cats have nine lives and use each to cause heart attacks?,Emma.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T03:23:46.829990
470,Manual Entry,Who ended up at a monastic temple due to getting lost?,Chloe.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T03:24:00.499735
471,Manual Entry,Which friend always falls asleep during relaxation activities?,Sarah.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T03:24:13.768028
472,Manual Entry,Who invested their bonus into a new camera lens?,Ryan.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T03:24:27.487009
473,Manual Entry,Which friend joked about painting a volcano by accident?,Jake.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T03:24:40.873211
474,Manual Entry,Who always says ‘Meditation is saving my sanity’?,Sarah.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T03:24:54.335800
475,Manual Entry,Which friend gets purr‑well soon vibes from their cats?,Emma.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T03:25:07.858108
476,Manual Entry,Who enjoys reading ‘The Midnight Library’?,Chloe.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T03:25:22.156360
477,Manual Entry,Who discovered that tofu can be delicious in spicy Thai curry?,No one; tofu was not mentioned in the curry.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T03:25:35.979565
478,Manual Entry,Who uses noise‑canceling headphones to avoid hearing a snoring dog?,Ryan.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T03:25:49.744413
479,Manual Entry,Who writes recipes with secret ingredients?,Jake (raisin meatballs).,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T03:26:02.953170
480,Manual Entry,Which friend created a cat‑shaped succulent planter?,Sarah.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T03:26:16.194464
481,Manual Entry,Who visited a giant digital projection art exhibit?,Chloe.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T03:26:29.711575
482,Manual Entry,Who suffers from an ‘E’ key sticking after spilling coffee?,Ryan.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T03:26:43.772341
483,Manual Entry,Which friend used a VR museum tour of the Louvre?,Emma.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T03:26:56.983184
484,Manual Entry,Who once microwaved noodles without water?,Ryan.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T03:27:10.466501
485,Manual Entry,Who prepared mango sticky rice that everyone loved?,Chloe.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T03:27:23.641550
486,Manual Entry,Who named their new laptop ‘Silver Ultrabook’?,It’s simply a silver ultrabook; no special name.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T03:27:36.917244
487,Manual Entry,Which friend found a succulent planter shaped like a cat for Whiskers?,Sarah.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T03:27:50.636898
488,Manual Entry,Who frequently uses voice‑to‑text due to finger injuries?,Ryan.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T03:28:04.200582
489,Manual Entry,Who lost power during a summer storm and turned melted ice cream into a milkshake?,Chloe.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T03:28:18.023773
490,Manual Entry,Which friend ended the script by planning a camping trip to Acadia National Park?,Emma.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T03:28:31.667889
491,Manual Entry,Who spilled cappuccino on themselves at their new job?,Jake.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T03:28:45.071939
492,Manual Entry,Which friend found their cat literally kneading their lap like bread dough?,Emma.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T03:28:58.636628
493,Manual Entry,Who read ‘Project Hail Mary’ and loved its mix of humor and science?,Emma.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T03:29:12.502238
494,Manual Entry,Which friend described the reward of finishing the Yosemite puzzle as hearing the waterfall?,Emma.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T03:29:26.188998
495,Manual Entry,What did the group agree to bring to the potluck from their heritage?,"Sarah’s pierogi, Ryan’s spanakopita, Jake’s meatballs with raisins, Emma’s Thai green curry, and Chloe’s veggie chili.",I'm having trouble responding right now. Please try again.,58,False,2025-08-13T03:29:40.055424
496,Manual Entry,Who makes the inside joke that their guitar’s showerhead gives them a standing ovation?,Jake.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T03:29:54.100144
497,Manual Entry,Which friend sewed curtains because the old ones were too short?,Chloe.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T03:30:07.745358
498,Manual Entry,Who started making Italian meatballs with a secret ingredient?,Jake.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T03:30:21.255535
